coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
952336,"P. Jenikins",,1997-01-01,,"Conopholis mexicana",0,"A. Gray",,,,,,,urn:uuid:3c02ea14-0299-43de-9d9d-241655d1328d,"2014-07-25 19:26:02"
952336,ARIZ,,2012-08-29,,"Conopholis alpina",0,Liebm.,,,,,,"Nomenclatural Adjustment per Tropicos, 2012",urn:uuid:5c84599e-4f05-4e5a-8566-64372231a293,"2014-07-25 19:26:02"
952336,"S. Shaya",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:39cccac1-d00e-44e7-b118-6b3dff14d6af,"2014-07-25 19:26:02"
952337,"O. B. Metcafe",,1903-07-16,,"Conopholis americana",0,"(L.) Wallr.",,,,,,,urn:uuid:a758d013-70d1-4968-b00d-8cad83212a57,"2014-07-25 19:26:02"
952337,"Robert R. Haynes",,1968-01-01,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:4076cae7-7caa-43e1-b788-ae513ecf9655,"2014-07-25 19:26:02"
952337,"S. Shaya",,"December 20, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:7c7bb230-abd7-4962-96cb-ac743c288ed7,"2014-07-25 19:26:02"
952338,"M. Fishbein",,1994-07-01,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:ee518b23-6859-4321-85dc-89079a409e2e,"2014-07-25 19:26:02"
952338,"S. Shaya",,"December 20, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:264b4ed4-7fe6-4b9a-b52b-431d21309bf8,"2014-07-25 19:26:02"
952339,"R. K. Van Devender ver M. Fishbein July 1994",,"July 1994",,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:74c4e9e3-6b6f-46a8-b53c-0f2e0eb87314,"2014-07-25 19:26:02"
952339,"S. Shaya & A. Robrigues",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:533264ca-8d43-4463-a629-942fa14d7ac3,"2014-07-25 19:26:02"
952340,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:ad81009f-cf22-48d5-bd8c-602b13c4270d,"2014-07-25 19:26:02"
952340,"S. Shaya & A. Robrigues",,"September 27, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:65e80a3c-be41-4afa-88c5-db6ad7bf87ff,"2014-07-25 19:26:02"
952348,"M. Dominguez L.",,1997-06-13,,"Conopholis americana",0,"(L.) Wallr.",,,,,,,urn:uuid:58fdeba6-2d8d-4a5b-87f6-99274db1c381,"2014-07-25 19:26:02"
952353,"Robert R. Haynes",,1968,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:8e79d4d5-28e7-4ea4-b927-81f054c0aca0,"2014-07-25 19:26:02"
952353,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis mexicana",0,"Gray ex S. Wats.",,,,,,,urn:uuid:4c8cba27-8608-442a-b545-b90f09868f45,"2014-07-25 19:26:02"
952353,"S. Shaya & A. Robrigues",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:2b6cfb04-e6de-4913-8d8e-60ca8a638be4,"2014-07-25 19:26:02"
952357,"R. Fernandez N.",,1976-04-06,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:f0a3fac0-5909-412c-ac97-76619ffc65b3,"2014-07-25 19:26:02"
952357,"S. Shaya",,"December 20, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:f59512ea-876c-4481-afea-2046a1dc09f4,"2014-07-25 19:26:02"
952357,"R. Fernandez N.",,s.d.,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:f7a70711-2026-4119-87e0-37854a0630ad,"2014-07-25 19:26:02"
952358,"R. Fernandez N.",,1980-03-04,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:b4e0b0fc-cdce-4ff8-a971-add54498adf4,"2014-07-25 19:26:02"
952358,"S. Shaya",,"December 20, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:e52e4f06-7c9c-4411-b828-8dca6ef1d2dc,"2014-07-25 19:26:02"
952358,"R. Fernandez N.",,s.d.,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:f39a1054-2eb2-4d12-bf82-2b981cc9c36c,"2014-07-25 19:26:02"
952359,"G. Yastkievych",,1983-05-01,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:250e00c0-bcea-4b58-ae18-bc1c40c6e81b,"2014-07-25 19:26:02"
952360,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:25c491f7-3356-49cb-8054-64e3799fa6f7,"2014-07-25 19:26:02"
952360,"S. Shaya & A. Robrigues",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:c6cfccca-05a0-4370-ab51-132ac1ad2511,"2014-07-25 19:26:02"
952361,"M. Fishbein",,1994-08-01,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:93e9da83-30a0-4530-b04d-26b2ecfb1404,"2014-07-25 19:26:02"
952361,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:cbc8bfed-d4c0-46f5-ab59-3bd0d6ee1cea,"2014-07-25 19:26:02"
952361,"S. Shaya & A. Robrigues",,"September 21, 2013",,"Conopholis alpina var. mexicana",0,"(A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:f7a784a6-785e-4bc1-bcb3-c15a724c5dcd,"2014-07-25 19:26:02"
952362,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis mexicana",0,"Gray ex S. Wats.",,,,,,,urn:uuid:bd72be70-0156-4f9a-98af-6db8536179fc,"2014-07-25 19:26:02"
952362,"S. Shaya & A. Robrigues",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:ca7d8cb5-cc76-4275-82d8-bd9068c2561a,"2014-07-25 19:26:02"
952363,?,,1973-03-20,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:84420d09-5651-4a7d-9f15-68db79a76934,"2014-07-25 19:26:02"
952363,"D. J. Pinkava",,1973-03-20,,"Conopholis mexicana",0,"A. Gray",,,,,,,urn:uuid:db13e815-f995-460e-ae68-b0e9d1d67b49,"2014-07-25 19:26:02"
952363,"S. Shaya",,"December 20, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:e82abd47-a4c3-4fab-b2a6-565e48286b3d,"2014-07-25 19:26:02"
952363,?,,s.d.,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:932ee7ef-65bd-4529-9374-45ccf895dc1f,"2014-07-25 19:26:02"
952366,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis mexicana",0,"Gray ex S. Wats.",,,,,,"University of Toronto Mississauga (TRTE)",urn:uuid:4c27fb6b-8915-45f3-8430-39bfb6a4e4ce,"2014-07-25 19:26:02"
952366,"C.T. Mason, Jr 1984",,s.d.,,"Conopholis mexicana",0,"A. Gray",,,,,,,urn:uuid:82fb5c32-6bd5-4d39-be42-763841b322d7,"2014-07-25 19:26:02"
952368,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:b5dc3c6e-4626-41fc-ac96-0728e10a0254,"2014-07-25 19:26:02"
952368,"S. Shaya & A. Robrigues",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:c79065ec-f4ee-41ce-987b-eef84fb61e42,"2014-07-25 19:26:02"
952370,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:d9b341f2-1b93-4504-b30b-f01ca5548707,"2014-07-25 19:26:02"
952370,"S. Shaya & A. Robrigues",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:153a29ff-6408-482e-87e5-910fc32e86b0,"2014-07-25 19:26:02"
952371,"Robert R. Haynes",,1968,,"Conopholis alpina var. mexicana",0,"(A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:9f7067e1-93c2-465a-9334-fbc057e44d57,"2014-07-25 19:26:02"
952371,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis mexicana",0,"A. Gray",,,,,,,urn:uuid:eb451754-985b-4c05-aeba-8d0f79a07aae,"2014-07-25 19:26:02"
952371,"S. Shaya & A. Robrigues",,"December 20, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:9ea72099-7780-4fa0-96b0-5d8ff74c53d9,"2014-07-25 19:26:02"
952374,"Robert R. Haynes",,1968-01-01,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:9b37da22-ce93-4257-9bce-65bfd74bd5da,"2014-07-25 19:26:02"
952374,"S. Shaya",,"December 20, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:ef805584-296c-404d-bca5-f606447c25ba,"2014-07-25 19:26:02"
952374,"T H Kearney",,s.d.,,"Conopholis mexicana",0,"A. Gray",,,,,,,urn:uuid:39cef1bf-dd8e-4e5d-bd3f-0013f45f47d8,"2014-07-25 19:26:02"
952376,"W. Hess",,1976-05-02,,"Conopholis mexicana",0,"A. Gray",,,,,,,urn:uuid:1c413f2e-0ce3-40e2-bfa4-3b38f0671ccd,"2014-07-25 19:26:02"
952376,ARIZ,,2012-08-29,,"Conopholis alpina",0,Liebm.,,,,,,"Nomenclatural Adjustment per Tropicos, 2012",urn:uuid:36085a9e-4ba4-4327-a54a-c9f480671575,"2014-07-25 19:26:02"
952376,"S. Shaya",,"December 20, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:4e4726df-f4a1-4006-b4ca-a6be5e9f6cea,"2014-07-25 19:26:02"
952377,"Robert R. Haynes",,"Assumed to be collection date.",,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:9282452b-01eb-4a89-a8af-eeccec856562,"2014-07-25 19:26:02"
952378,"Robert R. Haynes",,1968,,"Conopholis alpina var. mexicana",0,"(A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:6ccf35a6-33ee-404a-9b68-98a9fa4ad89c,"2014-07-25 19:26:02"
952378,"Assumed to be collector.",,"Assumed to be collection date.",,"Conopholis mexicana",0,"Gray ex S. Wats.",,,,,,"Nomenclatural Adjustment per Tropicos, 2012",urn:uuid:0772c198-52b6-4d93-8b47-61b8194d6dbe,"2014-07-25 19:26:02"
952378,"S. Shaya & A. Robrigues",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:28990fa5-7704-44a8-b378-685a6e9fc627,"2014-07-25 19:26:02"
952379,"T. L. Burgess",,1974-04-16,,"Conopholis mexicana",0,"A. Gray",,,,,,,urn:uuid:4cff742c-e029-4ed1-8439-d269f238d32c,"2014-07-25 19:26:02"
952379,ARIZ,,2012-08-29,,"Conopholis alpina",0,Liebm.,,,,,,"Nomenclatural Adjustment per Tropicos, 2012",urn:uuid:43b4aa92-f83a-4997-b7cf-98026aba3bfd,"2014-07-25 19:26:02"
952379,"S. Shaya",,"December 20, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:f83f19aa-b93d-4cd9-a1d1-7389b1f3e093,"2014-07-25 19:26:02"
952380,"G. Yatsakievych",,1982-01-01,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:7a68c4b5-bc56-4e7c-9a63-f2ffbe44288c,"2014-07-25 19:26:02"
952380,"S. Shaya",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:f539d99d-98ce-4199-852e-23964d0645b5,"2014-07-25 19:26:02"
952384,"G. Yatsakievych",,1982-01-01,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:2ee0c012-fc85-4860-80bd-6dc456c54a7a,"2014-07-25 19:26:02"
952384,"S. Shaya & A. Robrigues",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:e43fcd49-ffae-4e83-9038-a1e08f85d8a1,"2014-07-25 19:26:02"
952392,"P. S, Martin",,1986-05-24,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:ca4bd05a-bd40-47df-8bce-5fd419e12ba6,"2014-07-25 19:26:02"
952392,"S. Shaya",,"September 21, 2013",,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:46fb3135-7c7b-42b3-b553-2bfbb64cc157,"2014-07-25 19:26:02"
960726,"James henrickson, D. Riskind",,1997-04-15,,"Conopholis mexicana",0,"A. Gray",,,,,,,urn:uuid:ab11d86f-a56e-4a27-98bc-f9d43af716cd,"2014-07-25 19:26:02"
960726,ARIZ,,2012-08-29,,"Conopholis alpina",0,Liebm.,,,,,,"Nomenclatural Adjustment per Tropicos, 2012",urn:uuid:f4082c17-e970-46e8-81cc-9f2ac811acf3,"2014-07-25 19:26:02"
1912330,"R.F. Thorne",,1977-09-03,,"Conopholis mexicana",0,"A. Gray",,,,,,,urn:uuid:625fd31e-454c-4f5e-b850-4c9a888b7bc4,"2014-07-25 19:26:02"
1912330,ARIZ,,2012-08-29,,"Conopholis alpina",0,Liebm.,,,,,,"Nomenclatural Adjustment per Tropicos, 2012",urn:uuid:baa03093-2728-46b8-ba60-6dfdc6a54943,"2014-07-25 19:26:02"
5544501,"R.J. Barr",,1961-06-02,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:819e2acd-6875-48bb-8a89-055d87658101,"2014-12-23 15:15:32"
5544502,"R.R. Johnson",,1958-06-10,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:11c4a749-e8f6-40e3-8fa1-d9a52a5cdd1d,"2014-12-23 15:15:32"
5544503,"J. McCormick",,1959-04-22,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:fc1bace6-ec4a-46ad-9c68-16b834c351ce,"2014-12-23 15:15:32"
5544504,"R.J. Barr",,1963-06-08,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:8e8813d8-0d8b-4cd9-b285-7cbad7523fec,"2014-12-23 15:15:32"
5544505,Moeller,,1935-06-11,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:1509b0e9-9772-48e4-bafe-f8ecb3bf4c7f,"2014-12-23 15:15:32"
5544506,"W.L. Schroeder",,1938-12-01,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:1aadba10-4187-4417-bdb0-ba52497a1ae3,"2014-12-23 15:15:32"
5544507,"Chiricahua Veg. Team",,1958-06-17,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:b2272451-99ae-4d3a-acee-dc1f4d7131c8,"2014-12-23 15:15:32"
5544508,Moeller,,1935-06-06,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:811a0f55-bb9d-4af5-ba66-f81d54a7bff3,"2014-12-23 15:15:32"
5544509,"L.N. Goodding",,1912-06-15,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:7d7f10bf-42b2-4df4-8294-55777c39eb5e,"2014-12-23 15:15:32"
5544510,"D. Lee",,1969-05-11,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:17ccea90-b4b9-495a-85c2-355d955c90c2,"2014-12-23 15:15:32"
5544511,"B. Schmalzel",,1974-04-28,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:a49d5ab0-2e1b-4a5f-b81e-4f7c0df59d7a,"2014-12-23 15:15:32"
5544512,Moeller,,1935-06-03,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:1588faf3-5ca1-4cfa-886a-f889fc9a50bc,"2014-12-23 15:15:32"
5544513,Unknown,,1953-06-10,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:1932b48f-cf2f-4098-9995-564bed1bd56e,"2014-12-23 15:15:32"
5544514,"F.W. Reichenbacher",,1980-05-21,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:15e8ab9b-b432-48c4-b9c1-3f7434cf61cb,"2014-12-23 15:15:32"
5544515,"P.C. Fischer",,1980-05-19,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:c596c1e3-a70e-4811-bbfc-39a3accff8b7,"2014-12-23 15:15:32"
5544516,"W.S. Phillips",,1945-05-18,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:e1758ba4-d69b-480c-aa29-30d7110590c7,"2014-12-23 15:15:32"
5544517,"R.E. Collom",,1933-06-02,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:f3104bfe-e5e5-4a58-aa27-bf6dc12aecb4,"2014-12-23 15:15:32"
5544518,"L. Hendrickson",,1984-06-02,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:6fc4b70c-1cb2-4de0-9157-8a7157fc0b08,"2014-12-23 15:15:32"
5544519,"E.G. Smith",,1937-05-24,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:34477d91-bc8e-4f6d-947b-8c33be1a9a60,"2014-12-23 15:15:32"
5544520,"R. H. Peebles",,1928-05-24,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:323494b8-5bd2-4ea4-a53d-79f0511c658d,"2014-12-23 15:15:32"
5544521,"F.W. Gould",,1947-06-05,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:1ca8381b-ecfd-4f40-bbb7-86081d1f4383,"2014-12-23 15:15:32"
5544522,"T. H. Kearney",,1927-12-01,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:6b4d5952-d861-44ea-bb40-cd589f74b92c,"2014-12-23 15:15:32"
5544523,"H.F. Loomis",,1929-05-31,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:e33799f8-3dfe-42ad-a2e7-2c18f610e9e9,"2014-12-23 15:15:32"
5544524,"F. Shreve",,1914-12-01,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:98da9ab4-a753-4f9e-870b-f58ba310ce9a,"2014-12-23 15:15:32"
5544525,"Carl-Eric Granfelt",,1970-06-24,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:12ec5961-a895-4751-87c8-0ce2ee5b36e1,"2014-12-23 15:15:32"
5544526,"G. Ferguson",,1988-12-01,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:98261cd4-e02f-4b4e-81e1-1d8680788ae9,"2014-12-23 15:15:32"
5544527,"D. A. Yetman",,1998-05-14,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:998fa419-2337-4fb6-a116-868fb99f67cd,"2014-12-23 15:15:32"
5574258,"M. Mehrman",,1985-07-04,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:d7df18d5-2f9f-410a-95f8-adcad4cc8067,"2014-12-23 15:15:32"
5574259,"J.E. Laferriere",,1987-04-22,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:e78a6a96-17c8-4d53-82f2-52d130c4c268,"2014-12-23 15:15:32"
5574260,"P.S. Martin",,1986-05-24,,"Conopholis alpina var. mexicana",0,"(A. A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:cd61e81c-dc62-4258-8b75-dfaccda749e1,"2014-12-23 15:15:32"
8854089,"R.D. Worthington",,1980,,"Orobanche ludoviciana",0,Nutt.,,,,,,,urn:uuid:cc0e4402-50b7-4d50-88a0-26080fd3d44d,"2016-04-07 15:41:39"
8854089,"Turner Collins",,1999,,"Conopholis mexicana",0,"Gray ex S. Wats.",,,,,,,urn:uuid:6e4857d4-ad7f-4b41-a45d-93bd588bcd2b,"2016-04-07 15:41:39"
2069755,"Joni Ward",,,,"Conopholis alpina var. mexicana",0,,,,,,,,urn:uuid:48c1ff6f-f310-40f3-8f9b-a42d10152b6a,"2011-08-17 18:39:27"
20557053,"Mark W. Ellis",,2002-02-08,,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:fa05ffe2-2b45-4481-ac96-5d61599f4ef3,"2018-09-29 13:57:13"
20557053,"Assumed to be collector(s)",,unknown,,Conopholis,0,Wallr.,,,,,,"On label ""Conopholis neomexicana Gray"", name not published, possibly meant C. mexicana A. Gray ex S. Watson.",urn:uuid:c65095c5-10df-481f-9898-695527edc739,"2018-09-29 13:57:13"
20557054,"Mark Ellis",,2002-02-08,,"Conopholis americana",1,"(L.) Wallr.",,,,,,,urn:uuid:6ad456c8-d293-4ccf-a205-6afdcc2d9716,"2018-09-29 13:05:58"
20557054,"Assumed to be collector(s)",,unknown,,"Conopholis americana",0,"(L.) Wallr.",,,,,,,urn:uuid:8a3c3587-7059-456a-9b59-b7dccfc29be1,"2018-09-29 13:05:58"
20557056,"Mark Ellis",,2002-02-08,,"Conopholis americana",1,"(L.) Wallr.",,,,,,,urn:uuid:e5febda7-e7c6-4c7d-88fc-d99eff437f0e,"2018-09-29 13:38:51"
20557056,"Assumed to be collector",,unknown,,"Conopholis americana",0,"(L.) Wallr.",,,,,,,urn:uuid:f7de66fb-c2cf-4f0f-bfaf-881504f91f7f,"2018-09-29 13:39:01"
20557064,"Mark W. Ellis",,2002-02-08,,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:838e68d6-5434-4317-8c4b-cc3b0102d939,"2018-09-29 14:11:55"
20557064,"Assumed to be collector(s)",,unknown,,"Conopholis mexicana",0,"Gray ex S. Wats.",,,,,,,urn:uuid:46073521-c0c5-4d99-83a5-ca7c0e66b4b5,"2018-09-29 14:11:55"
20557065,"Mark W. Ellis",,2002-02-08,,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:46b35197-b2d2-4809-95b0-50d758775da8,"2018-09-29 14:03:33"
20557065,"Assumed to be collector(s)",,unknown,,"Conopholis mexicana",0,"Gray ex S. Wats.",,,,,,,urn:uuid:8a28b9ec-29fe-41c3-b7e1-c836582f1b16,"2018-09-29 14:03:33"
20557066,"Mark W. Ellis",,2002-02-08,,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:84a8542f-6fdb-431f-be3b-99e3bae8a4bf,"2018-09-29 14:18:05"
20557066,"Assumed to be collector(s)",,unknown,,"Conopholis mexicana",0,"Gray ex S. Wats.",,,,,,,urn:uuid:0085e99b-3e8c-48cd-83ec-a700ed71fd33,"2018-09-29 14:18:05"
20557091,"Mark Ellis",,2002-02-08,,"Conopholis americana",1,"(L.) Wallr.",,,,,,,urn:uuid:f8a8a88e-2a01-465b-80c5-ff982c620f16,"2018-09-29 13:42:44"
20557091,"Assumed to be collector",,unknown,,"Conopholis americana",0,"(L.) Wallr. f.",,,,,,,urn:uuid:714d3e24-f79f-4242-a164-404c7ad3b1a8,"2018-09-29 13:42:44"
4004154,"I. Tidestrom,",,unknown,,"Conopholis alpina var. mexicana",1,,,,,,,bb2df347-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:8e7b0558-5147-4b69-a177-47b2974b2074,"2014-02-21 20:08:59"
4012249,unknown,,unknown,,"Conopholis alpina var. mexicana",1,,,,,,,bb4227d1-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:69cbb179-3b76-4ee9-b878-9e5de4be55d4,"2014-02-21 20:08:59"
4031232,"R.C. Sivinski,",,1999-01-01,,"Conopholis alpina var. mexicana",1,,,,,,,bb7f34bb-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:0a036629-2f1e-44ed-9dba-950f124fc75e,"2014-02-21 20:08:59"
4031233,"R.C. Sivinski,",,1999-01-01,,Conopholis,1,,Conopholis,,,,,c01a010b-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:5148ab3c-ab79-47ae-8e11-fa868cfff36c,"2014-02-21 20:08:59"
4033019,unknown,,unknown,,"Conopholis alpina var. mexicana",1,,,,,,,bb834202-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:3a6b69ab-fc3d-4bfe-a44a-b935bf6e0f7d,"2014-02-21 20:08:59"
4058664,unknown,,unknown,,"Conopholis alpina",1,,Conopholis,alpina,,,,be0491c9-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:3335ca38-3755-4c81-ba5f-4c88380a0eb1,"2014-02-21 20:08:59"
4068339,unknown,,unknown,,Conopholis,1,,Conopholis,,,,,c0246076-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:96df2524-b2b4-473f-aff3-3c0ec6bf7ace,"2014-02-21 20:08:59"
4085189,"R.R. Haynes,",,1968-01-01,,"Conopholis alpina var. mexicana",1,,,,,,,bbe1d27b-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:7b6ea026-6db5-4324-adcd-fbef7cf38c51,"2014-02-21 20:08:59"
4085193,"O.B. Metcalfe",,1904,,"Conopholis americana",0,Wallr.,,,,,,,urn:uuid:ea728a4a-9423-4045-8974-c808d81df9fb,"2015-04-14 15:57:19"
4085193,"Robert R. Haynes",,1968,,"Conopholis alpina var. mexicana",1,,,,,,,bbe1d426-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:5a44bd41-e1ef-4293-8666-a7b111cad55d,"2014-02-21 20:08:59"
4085197,"R.R. Haynes,",,1968-01-01,,"Conopholis alpina var. mexicana",1,,,,,,,bbe1d5ca-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:44bdca8c-8cd3-4465-9301-f6f2d4130253,"2014-02-21 20:08:59"
4085203,"R.R. Haynes,",,1968-01-01,,"Conopholis alpina var. mexicana",1,,,,,,,bbe1d775-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:f8e6a532-e5fd-4975-89f1-41e4a4bc1b27,"2014-02-21 20:08:59"
4085204,"R.R. Haynes,",,1968-01-01,,"Conopholis alpina var. mexicana",1,,,,,,,bbe1d91f-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:3356e6fd-27b5-4b7b-acf0-68b359b8b296,"2014-02-21 20:08:59"
4085210,"R.R. Haynes,",,1968-01-01,,"Conopholis alpina var. mexicana",1,,,,,,,bbe1daca-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:29d86c0e-9970-4b9d-b239-2f4ec3de774b,"2014-02-21 20:08:59"
4085212,"R.R. Haynes,",,1968-01-01,,"Conopholis alpina var. mexicana",1,,,,,,,bbe1dc7b-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:0e7bbfd9-ac01-49e0-8c1e-79fd332a2446,"2014-02-21 20:08:59"
4085214,"R.R. Haynes,",,1968-01-01,,"Conopholis alpina var. mexicana",1,,,,,,,bbe1de29-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:ce101678-5062-410d-9f0b-c49c30761f32,"2014-02-21 20:08:59"
